Player,Squad,Age,Nationality,Season
Billy Gilmour,Brighton,23-318,sct SCO,2023-2024
Ben Godfrey,Ipswich Town,27-100,eng ENG,2023-2024
Martial Godo,Fulham,22-042,eng ENG,2023-2024
João Gomes,Wolves,24-072,br BRA,2023-2024
Rodrigo Gomes,Wolves,21-292,pt POR,2023-2024
Toti Gomes,Wolves,26-099,pt POR,2023-2024
Diego Gómez,Brighton,22-029,py PAR,2023-2024
Joe Gomez,Liverpool,27-337,eng ENG,2023-2024
Nicolás González,Manchester City,23-112,es ESP,2023-2024
Anthony Gordon,Newcastle Utd,24-060,eng ENG,2023-2024
Ryan Gravenberch,Liverpool,22-344,nl NED,2023-2024
Archie Gray,Tottenham,19-044,eng ENG,2023-2024
Jack Grealish,Manchester City,29-227,eng ENG,2023-2024
Jacob Greaves,Ipswich Town,24-225,eng ENG,2023-2024
Brajan Gruda,Brighton,20-329,de GER,2023-2024
Albert Grønbaek,Southampton,23-337,dk DEN,2023-2024
Gonçalo Guedes,Wolves,28-147,pt POR,2023-2024
Marc Guéhi,Crystal Palace,24-286,eng ENG,2023-2024
Luis Guilherme,West Ham,19-075,br BRA,2023-2024
Bruno Guimarães,Newcastle Utd,27-160,br BRA,2023-2024
Marc Guiu,Chelsea,19-111,es ESP,2023-2024
İlkay Gündoğan,Manchester City,34-183,de GER,2023-2024
Malo Gusto,Chelsea,21-341,fr FRA,2023-2024
Joško Gvardiol,Manchester City,23-092,hr CRO,2023-2024
Erling Haaland,Manchester City,24-278,no NOR,2023-2024
Lewis Hall,Newcastle Utd,20-229,eng ENG,2023-2024
Ali Al Hamadi,Ipswich Town,23-055,iq IRQ,2023-2024
Marcus Harness,Ipswich Town,29-060,eng ENG,2023-2024
Jack Harrison,Everton,28-156,eng ENG,2023-2024
Taylor Harwood-Bellis,Southampton,23-085,eng ENG,2023-2024
Kai Havertz,Arsenal,25-318,de GER,2023-2024
Ayden Heaven,Manchester Utd,18-215,eng ENG,2023-2024
Jan Paul van Hecke,Brighton,24-321,nl NED,2023-2024
Hwang Hee-chan,Wolves,29-089,kr KOR,2023-2024
Dean Henderson,Crystal Palace,28-044,eng ENG,2023-2024
Rico Henry,Brentford,27-291,eng ENG,2023-2024
Mads Hermansen,Leicester City,24-288,dk DEN,2023-2024
Son Heung-min,Tottenham,32-291,kr KOR,2023-2024
James Hill,Bournemouth,23-105,eng ENG,2023-2024
Jack Hinshelwood,Brighton,20-014,eng ENG,2023-2024
George Hirst,Ipswich Town,26-069,sct SCO,2023-2024
Mason Holgate,Everton,28-185,eng ENG,2023-2024
Callum Hudson-Odoi,Nott'ham Forest,24-169,eng ENG,2023-2024
Will Hughes,Crystal Palace,30-008,eng ENG,2023-2024
Dean Huijsen,Bournemouth,20-011,es ESP,2023-2024
Omari Hutchinson,Ipswich Town,21-177,eng ENG,2023-2024
Rasmus Højlund,Manchester Utd,22-080,dk DEN,2023-2024
Igor,Brighton,27-077,br BRA,2023-2024
Danny Ings,West Ham,32-276,eng ENG,2023-2024
Tim Iroegbunam,Everton,21-299,eng ENG,2023-2024
Andy Irving,West Ham,24-347,sct SCO,2023-2024
Alexander Isak,Newcastle Utd,25-216,se SWE,2023-2024
Alex Iwobi,Fulham,28-357,ng NGA,2023-2024
Nicolas Jackson,Chelsea,23-309,sn SEN,2023-2024
Reece James,Chelsea,25-138,eng ENG,2023-2024
Vitaly Janelt,Brentford,26-350,de GER,2023-2024
Vitezslav Jaros,Liverpool,23-276,cz CZE,2023-2024
Daniel Jebbison,Bournemouth,21-255,eng ENG,2023-2024
Mathias Jensen,Brentford,29-114,dk DEN,2023-2024
Gabriel Jesus,Arsenal,28-022,br BRA,2023-2024
Raúl Jiménez,Fulham,33-355,mx MEX,2023-2024
Kim Jisoo,Brentford,20-122,kr KOR,2023-2024
João Pedro,Brighton,23-211,br BRA,2023-2024
Joelinton,Newcastle Utd,28-254,br BRA,2023-2024
Ben Johnson,Ipswich Town,25-091,eng ENG,2023-2024
Brennan Johnson,Tottenham,23-337,wls WAL,2023-2024
Sam Johnstone,Wolves,32-031,eng ENG,2023-2024
Curtis Jones,Liverpool,24-085,eng ENG,2023-2024
Jorginho,Arsenal,33-126,it ITA,2023-2024
Diogo Jota,Liverpool,28-142,pt POR,2023-2024
James Justin,Leicester City,27-061,eng ENG,2023-2024
Filip Jørgensen,Chelsea,23-009,dk DEN,2023-2024
Ferdi Kadioglu,Brighton,25-200,tr TUR,2023-2024
Daichi Kamada,Crystal Palace,28-263,jp JPN,2023-2024
Boubacar Kamara,Aston Villa,25-153,fr FRA,2023-2024
Michael Kayode,Brentford,20-289,it ITA,2023-2024
Michael Keane,Everton,32-104,eng ENG,2023-2024
Caoimhín Kelleher,Liverpool,26-153,ie IRL,2023-2024
Lloyd Kelly,Newcastle Utd,26-201,eng ENG,2023-2024
Milos Kerkez,Bournemouth,21-169,hu HUN,2023-2024
Bilal El Khannouss,Leicester City,20-350,ma MAR,2023-2024
Abdukodir Khusanov,Manchester City,21-055,uz UZB,2023-2024
Max Kilman,West Ham,27-337,eng ENG,2023-2024
Joshua King,Fulham,18-112,eng ENG,2023-2024
Antonín Kinský,Tottenham,22-043,cz CZE,2023-2024
Jakub Kiwior,Arsenal,25-069,pl POL,2023-2024
Justin Kluivert,Bournemouth,25-355,nl NED,2023-2024
Ibrahima Konaté,Liverpool,25-335,fr FRA,2023-2024
Ezri Konsa,Aston Villa,27-184,eng ENG,2023-2024
Mateo Kovačić,Manchester City,30-354,hr CRO,2023-2024
Caleb Kporha,Crystal Palace,18-284,eng ENG,2023-2024
Emil Krafth,Newcastle Utd,30-266,se SWE,2023-2024
Mohammed Kudus,West Ham,24-266,gh GHA,2023-2024
Dejan Kulusevski,Tottenham,25-000,se SWE,2023-2024
Maxence Lacroix,Crystal Palace,25-019,fr FRA,2023-2024
Adam Lallana,Southampton,36-350,eng ENG,2023-2024
Tariq Lamptey,Brighton,24-207,gh GHA,2023-2024
Will Lankshear,Tottenham,20-005,eng ENG,2023-2024
Roméo Lavia,Chelsea,21-109,be BEL,2023-2024
Mario Lemina,Wolves,31-236,ga GAB,2023-2024
Bernd Leno,Fulham,33-052,de GER,2023-2024
Jefferson Lerma,Crystal Palace,30-182,co COL,2023-2024
Rico Lewis,Manchester City,20-155,eng ENG,2023-2024
Keane Lewis-Potter,Brentford,24-062,eng ENG,2023-2024
Myles Lewis-Skelly,Arsenal,18-211,eng ENG,2023-2024
Matthijs de Ligt,Manchester Utd,25-256,nl NED,2023-2024
Pedro Lima,Wolves,18-298,br BRA,2023-2024
Victor Lindelöf,Manchester Utd,30-282,se SWE,2023-2024
Jesper Lindstrøm,Everton,25-055,dk DEN,2023-2024
